ID,label,SUT,VAE,SAE,lsa
0.0,-0.373665106110275,-0.08416268229484560,6.11689869519318E+01,5.38526635120406E+01,0.4161671621347800
1.0,-0.0653962884098291,-0.07040581107139590,5.77278229734028E+01,4.88220961055306E+01,0.2679956271834500
2.0,-0.160735441371799,-0.0792616456747055,5.53486134639304E+01,4.69105592839677E+01,0.3405872102891900
3.0,0.317896057851613,-0.08001095801591870,5.50141320802431E+01,4.72890321473044E+01,0.3504518126038300
4.0,0.19649308398366,-0.07766738533973690,5.52877113859952E+01,4.79695766109813E+01,0.3215871494420000
5.0,-0.341386346518993,-0.07992212474346160,5.47752443813266E+01,4.69216135420887E+01,0.3492507917083400
6.0,-0.0239574497565627,-0.07257309556007390,5.51771111187274E+01,4.68563001227789E+01,0.2784939183541400
7.0,-0.253813835419714,-0.10999433696270000,5.43881249539375E+01,4.56731614763981E+01,1.2533459258929300
8.0,0.302005162462592,-0.18007498979568500,5.3923966539825E+01,4.58170636204196E+01,2.9250405890371700
9.0,-0.382671960256994,-0.22207248210907000,5.30813543745554E+01,4.48624347408553E+01,3.030372524965840000
10.0,-0.0445358112454414,-0.3399265706539150,5.34255185131708E+01,4.53745860143774E+01,3.4725296317891200
11.0,0.295319217257202,-0.17129632830619800,5.33843058747344E+01,4.53152373547222E+01,2.89686899575300000
12.0,-0.187628504261374,-0.09343893826007840,5.32630614705391E+01,4.55463229627098E+01,0.632906664307850
13.0,-0.235088496655226,-0.07670685648918150,5.33332341973157E+01,4.56837802165742E+01,0.3114299155367000
14.0,-0.324478502571583,-0.04555163159966470,5.35789955898025E+01,4.60366381270545E+01,0.4298693177208900
15.0,-0.259755927883089,-0.046070195734500900,5.36874658026875E+01,4.58398582380946E+01,0.4220131344049200
16.0,-0.135996666923165,-0.04351910948753360,5.35238426633616E+01,4.57941474190895E+01,0.4621603112174200
17.0,-0.246417278051376,0.0160786472260952,5.31490965985258E+01,4.55605868528677E+01,1.8467558437602900
18.0,-0.00417953245341779,-0.05372987315058710,5.27982211692671E+01,4.54453163311576E+01,0.325637427639110
19.0,-0.0717142429202795,-0.04665720835328100,5.2905124244606E+01,4.58024613699107E+01,0.413312848427330
20.0,-0.0109193271026015,0.03553755581378940,5.30035371033709E+01,4.58087279996617E+01,2.17308368616381
21.0,-0.290488004125655,-0.01233663409948350,5.34404841299299E+01,4.62683529370352E+01,1.1656897176476200
22.0,0.280798097513616,-0.024587927386164700,5.33137999344882E+01,4.59919904598383E+01,0.8560742501393100
23.0,-0.00730608832091095,-0.04533394053578380,5.367557036593E+01,4.63882954742906E+01,0.433214406617170
24.0,0.054001429490745,0.04028366878628730,5.40203910344413E+01,4.66690367084964E+01,2.2332315203976400
25.0,-0.0361109904944897,-0.0007023513317108150,5.40443301860328E+01,4.6642257398222E+01,1.463557250667670
26.0,0.091887172870338,0.011959156952798400,5.41261036071838E+01,4.65822038438553E+01,1.7604040588831500
27.0,0.36143460534513,-0.006689299829304220,5.45300195873325E+01,4.65506125970242E+01,1.3116524569051000
28.0,0.0265875650569797,0.02165002003312110,5.46574123079818E+01,4.67863083854342E+01,1.9540855587650700
29.0,0.193329541757703,-0.002961961319670080,5.32025643209989E+01,4.68895662683839E+01,1.4067932291900000
30.0,0.17688310444355,-0.013290060684084900,5.24315493250558E+01,4.69197701192166E+01,1.1410273251035300
