row ID,outcome,SUT,confidence,dsa,lsa,uniform
0.0,Fail,16,0.6041041016578674,0.25658359007179143,0.2678398262354549,1
1.0,Pass,34,0.9992154836654663,0.17647193146798235,0.18162735036914557,1
2.0,Fail,98,0.9344059824943542,0.23196997986836784,0.21213912907552257,1
3.0,Fail,63,0.674269437789917,0.23745781329224028,0.194229181887689,1
4.0,Fail,45,0.7534921765327454,0.22766725969581994,0.26177126559615593,1
5.0,Fail,92,0.8292257189750671,0.2638862228709553,0.27077612715587995,1
6.0,Pass,42,0.9995811581611633,0.17571178582035005,0.15591844211518502,1
7.0,Pass,20,0.9827349781990051,0.17324163019963812,0.2360780022294997,1
8.0,Fail,78,0.2449776828289032,0.2501538810653832,0.213047361898429,1
9.0,Pass,16,0.9996649026870728,0.16220512600202858,0.18160388272996597,1
10.0,Pass,97,0.999991774559021,0.16621702520666262,0.16752534679665576,1
11.0,Pass,17,0.8634173274040222,0.2947257034395393,0.4831026790487426,1
12.0,Fail,75,0.3353610038757324,0.25261776580223627,0.2645401042985268,1
13.0,Pass,71,0.6033263802528381,0.23519269741747964,0.15216285825202946,1
14.0,Pass,31,0.9949415326118469,0.19123989088829682,0.147775854164249,1
15.0,Fail,16,0.6930178999900818,0.25607767359761807,0.30726452642774593,1
16.0,Pass,36,0.9993932247161865,0.20381211917997732,0.18964631770756835,1
17.0,Fail,17,0.7758017182350159,0.3023625226729462,0.3943888368908003,1
18.0,Fail,27,0.33786314725875854,0.26094267836740037,0.2644490519988262,1
19.0,Pass,52,0.5102880597114563,0.21955396501980873,0.15128428768285374,1
20.0,Pass,74,0.9809454679489136,0.1815248672248582,0.15378479679471124,1
21.0,Pass,39,0.9999105930328369,0.2235300964436798,0.17319607931107828,1
22.0,Pass,45,0.9985585808753967,0.09247456646824044,0.0737309829924584,1
23.0,Pass,53,0.9999626874923706,0.2341365073931067,0.21774081611461948,1
24.0,Pass,26,0.7772787809371948,0.2536016102177251,0.2197203760402039,1
25.0,Fail,95,0.45020362734794617,0.2800790695606102,0.22581418031786082,1
26.0,Fail,95,0.608757495880127,0.29251234679769844,0.239464836393105,1
27.0,Pass,57,0.9540150761604309,0.21426316863264228,0.25344453097719977,1
28.0,Fail,27,0.35385680198669434,0.2504441852789479,0.31198507454458235,1
29.0,Fail,33,0.43971073627471924,0.2923917335393349,0.2431893425302034,1
30.0,Fail,27,0.48483386635780334,0.22932956067277058,0.2539501373401237,1
31.0,Pass,20,0.9838210344314575,0.23003484656138806,0.3363837527345298,1
32.0,Fail,74,0.5155909061431885,0.261213960434382,0.23520458341621264,1
33.0,Fail,80,0.9458552598953247,0.20522382223024696,0.1657502950638876,1
34.0,Pass,21,0.9990435242652893,0.21629440428223434,0.14716162892987916,1
35.0,Pass,49,0.9999954700469971,0.1853240033009709,0.17565060858727743,1
36.0,Fail,10,0.6438712477684021,0.20130801140189142,0.22810215411871593,1
37.0,Pass,48,0.9969280362129211,0.22893202294858578,0.22527788056139753,1
38.0,Fail,52,0.9174870848655701,0.2658875984989655,0.2849374109748486,1
39.0,Pass,8,0.9879505634307861,0.20691363688470757,0.19667888795357658,1
40.0,Fail,63,0.6125996708869934,0.26927471376278284,0.2948024654420057,1
41.0,Fail,7,0.5431958436965942,0.25503114827620804,0.23467751266771664,1
42.0,Pass,86,0.9999938011169434,0.23751865064210498,0.2584030096902563,1
43.0,Pass,21,0.9999994039535522,0.16810894667698462,0.1751168964521872,1
44.0,Pass,21,0.9988079071044922,0.23181523289029143,0.2780634745710159,1
45.0,Pass,71,0.9999939203262329,0.12413334709110317,0.04320378639801359,1
